User id	Error id	Message	Type	Line Number	Creation Time	Path	IP
uo227982	536871008	The serializable class VentanaRegistro does not declare a static final serialVersionUID field of type long	WARNING	10	2013-09-20-04:16:46	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	536871008	The serializable class VentanaRegistro does not declare a static final serialVersionUID field of type long	WARNING	10	2013-09-20-04:27:17	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:34:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	67108964	The method getTextField() is undefined for the type VentanaRegistro	ERROR	61	2013-09-20-04:36:09	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	603979894	The method getTextFieldNombre() from the type VentanaRegistro is never used locally	WARNING	88	2013-09-20-04:36:09	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:36:18	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:39:40	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:43:34	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	166	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	168	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777747	Type safety: The method setModel(ComboBoxModel) belongs to the raw type JComboBox. References to generic type JComboBox<E> should be parameterized	WARNING	169	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777746	Type safety: The constructor DefaultComboBoxModel(Object[]) belongs to the raw type DefaultComboBoxModel. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	169	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	DefaultComboBoxModel is a raw type. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	169	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	36	2013-09-20-04:49:25	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777746	Type safety: The constructor DefaultComboBoxModel(Object[]) belongs to the raw type DefaultComboBoxModel. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	169	2013-09-20-04:49:54	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
